question_id,dimension,subdimension,question_text,target_year_level
hs_127,hard_skills,api_development,How well do you perform in code testing and debugging?,2
hs_030,hard_skills,database_management,How effectively can you perform implement real-time systems?,1
tw_202,teamwork,delegation,How well do you perform in knowledge sharing sessions?,3
sa_178,creativity,artistic_creativity,How comfortable are you with incorporating aesthetic elements in technical design?,3
tw_185,teamwork,consensus_building,How effectively can you perform resolve team conflicts?,2
tw_024,teamwork,code_review_collaboration,How comfortable are you with giving peer feedback?,2
hs_012,hard_skills,programming_languages,How well do you perform in web framework implementation?,2
ss_400,soft_skills,conflict_resolution,How confident are you in conflict resolution?,1
ss_478,soft_skills,public_speaking,How effectively can you perform public speaking?,1
sa_140,hard_skills,devops_deployment,How effectively can you perform perform DevOps and deployment?,2
hs_250,hard_skills,monitoring_logging,How effectively can you perform implement data encryption?,3
tw_218,teamwork,team_building,How often do you engage in team building activities?,1
ss_012,soft_skills,time_management,How capable are you of time management?,1
tw_001,teamwork,communication_documentation,How confident are you in facilitating team meetings?,2
sa_161,creativity,artistic_creativity,How well do you perform when designing technical solutions with artistic flair?,1
hs_180,hard_skills,machine_learning,How effectively can you perform implement real-time systems?,3
tw_133,teamwork,peer_feedback,How often do you engage in group problem-solving?,1
tw_227,teamwork,collaborative_planning,How well do you perform in cross-functional collaboration?,2
ss_249,soft_skills,decision_making,How well do you perform decision making?,1
hs_005,hard_skills,programming_languages,How effectively can you perform optimize database performance?,3
ss_662,soft_skills,strategic_planning,How proficient are you at strategic planning?,2
hs_163,hard_skills,cybersecurity,How often do you engage in performance profiling?,2
ss_045,soft_skills,critical_thinking,How skilled are you in critical thinking?,2
hs_142,hard_skills,cloud_computing,How well do you perform in code testing and debugging?,1
ss_078,soft_skills,adaptability_learning,How capable are you of adaptability and learning?,1
sa_133,creativity,ux_design,How comfortable are you with designing for future user behaviors?,3
ss_466,soft_skills,public_speaking,How proficient are you at public speaking?,3
hs_032,hard_skills,devops_deployment,How well do you perform in cloud infrastructure management?,1
ss_069,soft_skills,critical_thinking,How experienced are you with critical thinking?,3
tw_235,teamwork,collaborative_planning,How effectively can you perform coordinate multiple stakeholders?,3
tw_118,teamwork,team_leadership,How often do you engage in group problem-solving?,3
sa_028,creativity,innovation_problem_solving,How often do you engage in lateral thinking for complex challenges?,1
tw_239,teamwork,collaborative_planning,How comfortable are you with team decision-making?,3
sa_101,creativity,system_architecture,How often do you engage in architectural pattern innovation?,2
ss_275,soft_skills,stress_management,How effectively can you perform stress management?,2
sa_030,creativity,innovation_problem_solving,How effectively can you perform synthesize diverse perspectives into innovative approaches?,3
ss_158,soft_skills,emotional_intelligence,How confident are you in building rapport?,2
tw_032,teamwork,project_coordination,How well do you perform in cross-functional collaboration?,3
hs_220,hard_skills,microservices,How effectively can you perform implement data encryption?,3
sa_043,creativity,algorithm_design,How well do you perform when creating algorithms that balance performance and creativity?,3
hs_141,hard_skills,cloud_computing,How confident are you in implementing CI/CD pipelines?,2
ss_199,soft_skills,problem_solving,How strong are your problem solving capabilities?,3
tw_225,teamwork,team_building,How effectively can you perform build team consensus?,2
tw_042,teamwork,project_coordination,How well do you perform in collaborative planning?,3
ss_124,soft_skills,leadership,How would you rate your leadership abilities?,2
tw_135,teamwork,peer_feedback,How effectively can you perform build team consensus?,3
ss_344,soft_skills,communication_skills,How well do you perform in written communication?,2
sa_085,soft_skills,time_management,How comfortable are you with time management?,1
tw_022,teamwork,code_review_collaboration,How well do you perform in knowledge sharing sessions?,3
hs_019,hard_skills,database_management,How comfortable are you with containerization technologies?,1
sa_157,creativity,artistic_creativity,How often do you engage in creative visualization of complex data?,3
ss_134,soft_skills,leadership,How effectively can you perform leadership?,3
sa_014,creativity,innovation_problem_solving,How comfortable are you with exploring unconventional problem-solving methods?,2
ss_039,soft_skills,critical_thinking,How proficient are you at critical thinking?,3
hs_086,hard_skills,data_structures_algorithms,How confident are you in mobile app development?,3
sa_174,creativity,artistic_creativity,How effectively can you perform inspire others through creative technical presentations?,2
ss_534,soft_skills,empathy,How would you rate your empathy abilities?,3
tw_111,teamwork,team_leadership,How confident are you in leading project discussions?,3
hs_018,hard_skills,database_management,How often do you engage in API security implementation?,1
sa_066,teamwork,leadership_mentoring,How often do you engage in leadership mentoring?,3
hs_136,hard_skills,cloud_computing,How confident are you in implementing microservices architecture?,1
tw_054,teamwork,mentoring_teaching,How comfortable are you with giving peer feedback?,3
ss_120,soft_skills,leadership,How confident are you in setting team goals?,2
sa_034,creativity,ux_design,How well do you perform gathering user feedback?,1
sa_032,creativity,ux_design,How effectively can you perform perform UX design?,2
hs_197,hard_skills,blockchain,How well do you perform in cloud infrastructure management?,3
hs_083,hard_skills,data_structures_algorithms,How often do you engage in system monitoring and logging?,3
tw_048,teamwork,mentoring_teaching,How often do you engage in peer mentoring?,1
sa_176,creativity,artistic_creativity,How well do you perform when creating visually compelling technical solutions?,1
sa_074,creativity,creative_thinking,How well do you perform when thinking outside conventional paradigms?,3
sa_042,creativity,algorithm_design,How confident are you in designing efficient algorithms for novel problems?,2
ss_424,soft_skills,networking,How experienced are you with networking?,1
sa_047,creativity,algorithm_design,How confident are you in developing creative data structures?,1
ss_355,soft_skills,communication_skills,How capable are you of communication skills?,3
ss_422,soft_skills,networking,How confident are you in networking?,3
sa_049,teamwork,code_review_collaboration,How comfortable are you with code review and collaboration?,1
tw_198,teamwork,delegation,How often do you engage in peer mentoring?,2
ss_281,soft_skills,stress_management,How competent are you at stress management?,1
ss_582,soft_skills,creativity_thinking,How confident are you in creativity thinking?,1
sa_006,creativity,innovation_problem_solving,How confident are you in integrating feedback when solving problems creatively?,3
sa_019,creativity,innovation_problem_solving,How comfortable are you with ambiguous problems that require creative solutions?,1
hs_207,hard_skills,blockchain,How well do you perform in web framework implementation?,2
hs_034,hard_skills,devops_deployment,How comfortable are you with containerization technologies?,1
tw_060,teamwork,mentoring_teaching,How effectively can you perform build team consensus?,3
hs_070,hard_skills,mobile_development,How effectively can you perform implement data encryption?,1
sa_062,creativity,algorithm_design,How confident are you in designing efficient algorithms for novel problems?,1
hs_269,hard_skills,performance_optimization,How comfortable are you with blockchain technology?,2
sa_144,hard_skills,devops_deployment,How comfortable are you with managing deployment pipelines?,3
ss_077,soft_skills,adaptability_learning,How proficient are you at adaptability and learning?,1
tw_253,teamwork,group_problem_solving,How often do you engage in group problem-solving?,3
sa_026,creativity,system_architecture,How often do you engage in proposing maintainable system designs?,2
sa_049,creativity,algorithm_design,How often do you engage in creating algorithms that inspire new approaches?,3
sa_011,creativity,algorithm_design,How well do you perform designing algorithms?,2
tw_181,teamwork,consensus_building,How confident are you in facilitating team meetings?,2
sa_135,hard_skills,database_management,How comfortable are you with data migration planning?,3
sa_173,creativity,artistic_creativity,How comfortable are you with blending technical and artistic skills?,1
hs_112,hard_skills,version_control,How well do you perform in code testing and debugging?,3
sa_083,creativity,creative_thinking,How confident are you in generating original ideas for technical challenges?,3
ss_169,soft_skills,emotional_intelligence,How capable are you of emotional intelligence?,3
ss_358,soft_skills,communication_skills,How would you rate your communication skills abilities?,1
sa_030,creativity,ux_design,How often do you engage in UX design?,3
hs_066,hard_skills,mobile_development,How confident are you in implementing CI/CD pipelines?,3
tw_099,teamwork,conflict_mediation,How comfortable are you with giving peer feedback?,3
ss_308,soft_skills,self_motivation,How often do you engage in self motivation?,2
tw_016,teamwork,code_review_collaboration,How confident are you in facilitating team meetings?,3
sa_1078,soft_skills,communication,I am highly aware of my body language during conversations.,3
sa_046,creativity,algorithm_design,How effectively can you perform create algorithms that solve previously unsolved problems?,3
ss_248,soft_skills,decision_making,How capable are you of decision making?,1
sa_131,hard_skills,database_management,How effectively can you perform database management?,2
sa_055,teamwork,conflict_resolution,How confident are you in conflict resolution?,1
hs_214,hard_skills,microservices,How comfortable are you with containerization technologies?,3
sa_128,hard_skills,database_management,How well do you perform database management?,2
hs_245,hard_skills,monitoring_logging,How effectively can you perform optimize database performance?,3
hs_128,hard_skills,api_development,How often do you engage in system monitoring and logging?,2
tw_074,teamwork,cross_functional_work,How comfortable are you with team decision-making?,2
hs_073,hard_skills,mobile_development,How often do you engage in performance profiling?,2
ss_116,soft_skills,leadership,How well do you perform when motivating team members?,1
hs_117,hard_skills,version_control,How well do you perform in web framework implementation?,3
hs_165,hard_skills,cybersecurity,How effectively can you perform implement real-time systems?,3
tw_046,teamwork,mentoring_teaching,How confident are you in facilitating team meetings?,3
sa_063,teamwork,conflict_resolution,How comfortable are you with resolving disagreements?,3
hs_061,hard_skills,mobile_development,How confident are you in implementing microservices architecture?,1
ss_612,soft_skills,analytical_thinking,How competent are you at analytical thinking?,3
hs_113,hard_skills,version_control,How often do you engage in system monitoring and logging?,1
hs_227,hard_skills,containerization,How well do you perform in cloud infrastructure management?,2
sa_079,teamwork,agile_participation,How well do you perform sprint planning?,1
sa_008,creativity,innovation_problem_solving,How often do you engage in generating multiple creative ideas?,2
sa_175,creativity,artistic_creativity,How confident are you in applying artistic principles to technical work?,3
sa_120,creativity,system_architecture,How well do you perform when designing architectures for unknown future requirements?,3
ss_421,soft_skills,networking,How proficient are you at networking?,2
sa_066,creativity,creative_thinking,How comfortable are you with abstract thinking and conceptualization?,1
hs_090,hard_skills,data_structures_algorithms,How effectively can you perform implement real-time systems?,2
sa_103,soft_skills,adaptability_learning,How comfortable are you with adaptability and learning?,1
hs_185,hard_skills,artificial_intelligence,How effectively can you perform optimize database performance?,3
ss_467,soft_skills,public_speaking,How capable are you of public speaking?,3
ss_461,soft_skills,public_speaking,How would you rate your public speaking abilities?,3
sa_183,creativity,artistic_creativity,How comfortable are you with blending technical and artistic skills?,2
tw_092,teamwork,conflict_mediation,How well do you perform in cross-functional collaboration?,3
sa_003,creativity,innovation_problem_solving,How often do you engage in innovation problem solving?,3
hs_105,hard_skills,software_testing,How effectively can you perform implement real-time systems?,3
tw_242,teamwork,group_problem_solving,How well do you perform in cross-functional collaboration?,1
ss_409,soft_skills,conflict_resolution,How capable are you of conflict resolution?,1
ss_356,soft_skills,communication_skills,How strong are your communication skills capabilities?,2
sa_123,creativity,system_architecture,How effectively can you perform balance architectural creativity with practical constraints?,3
tw_038,teamwork,project_coordination,How often do you engage in team building activities?,1
hs_195,hard_skills,artificial_intelligence,How effectively can you perform implement real-time systems?,2
tw_201,teamwork,delegation,How confident are you in leading project discussions?,3
ss_366,soft_skills,communication_skills,How experienced are you with communication skills?,3
sa_114,soft_skills,presentation_communication,How confident are you in presenting technical ideas to diverse audiences?,3
ss_238,soft_skills,decision_making,How comfortable are you with decision making?,1
tw_085,teamwork,remote_collaboration,How effectively can you perform coordinate multiple stakeholders?,1
hs_181,hard_skills,artificial_intelligence,How confident are you in implementing microservices architecture?,1
sa_116,soft_skills,presentation_communication,How often do you engage in simplifying complex topics?,2
hs_008,hard_skills,programming_languages,How often do you engage in system monitoring and logging?,2
sa_177,creativity,artistic_creativity,How often do you engage in creative visualization of complex data?,2
ss_496,soft_skills,active_listening,How skilled are you in active listening?,1
sa_044,creativity,algorithm_design,How often do you engage in algorithmic innovation and optimization?,1
sa_113,creativity,system_architecture,How effectively can you perform balance architectural creativity with practical constraints?,2
ss_533,soft_skills,empathy,How effectively can you perform empathy?,2
ss_253,soft_skills,decision_making,How often do you engage in decision making?,1
ss_556,soft_skills,empathy,How skilled are you in empathy?,2
hs_186,hard_skills,artificial_intelligence,How confident are you in implementing CI/CD pipelines?,2
ss_664,soft_skills,strategic_planning,How often do you engage in strategic planning?,3
ss_484,soft_skills,public_speaking,How competent are you at public speaking?,3
sa_100,soft_skills,adaptability_learning,How confident are you in adaptability and learning?,1
sa_098,creativity,system_architecture,How effectively can you perform architect systems that inspire new design paradigms?,2
tw_065,teamwork,cross_functional_work,How effectively can you perform resolve team conflicts?,3
sa_130,creativity,ux_design,How confident are you in designing intuitive yet innovative interfaces?,3
tw_180,teamwork,meeting_facilitation,How effectively can you perform build team consensus?,1
sa_020,creativity,innovation_problem_solving,How effectively can you perform synthesize diverse perspectives into innovative approaches?,2
hs_205,hard_skills,blockchain,How effectively can you perform implement data encryption?,1
sa_077,teamwork,agile_participation,How effectively can you perform agile participation?,2
sa_053,teamwork,code_review_collaboration,How often do you engage in addressing code issues diplomatically?,2
ss_214,soft_skills,problem_solving,How capable are you of problem solving?,2
tw_153,teamwork,cultural_sensitivity,How often do you engage in peer mentoring?,1
sa_169,creativity,artistic_creativity,How effectively can you perform create technical solutions that are also beautiful?,3
tw_115,teamwork,team_leadership,How effectively can you perform coordinate multiple stakeholders?,1
tw_193,teamwork,consensus_building,How often do you engage in group problem-solving?,2
ss_126,soft_skills,leadership,How comfortable are you with leadership?,2
ss_653,soft_skills,strategic_planning,How skilled are you in strategic planning?,1
tw_189,teamwork,consensus_building,How comfortable are you with giving peer feedback?,3
sa_025,creativity,innovation_problem_solving,How effectively can you perform combine different ideas to create novel solutions?,1
sa_164,creativity,artistic_creativity,How effectively can you perform inspire others through creative technical presentations?,1
hs_003,hard_skills,programming_languages,How often do you engage in API security implementation?,1
hs_009,hard_skills,programming_languages,How comfortable are you with machine learning algorithms?,3
tw_159,teamwork,cultural_sensitivity,How comfortable are you with giving peer feedback?,3
ss_154,soft_skills,emotional_intelligence,How well do you perform in managing your emotions?,1
tw_249,teamwork,group_problem_solving,How comfortable are you with giving peer feedback?,1
ss_121,soft_skills,leadership,How well do you perform in conflict resolution?,2
ss_385,soft_skills,conflict_resolution,How competent are you at conflict resolution?,3
sa_137,creativity,ux_design,How often do you engage in creative user interaction design?,1
ss_502,soft_skills,active_listening,How comfortable are you with active listening?,1
ss_309,soft_skills,self_motivation,How strong are your self motivation capabilities?,2
ss_007,soft_skills,time_management,How strong are your time management capabilities?,1
hs_039,hard_skills,devops_deployment,How comfortable are you with machine learning algorithms?,1
sa_055,creativity,algorithm_design,How comfortable are you with designing algorithms for emerging technologies?,3
hs_219,hard_skills,microservices,How comfortable are you with machine learning algorithms?,2
sa_146,creativity,ux_design,How well do you perform when designing interfaces that surprise and delight users?,1
hs_212,hard_skills,microservices,How well do you perform in cloud infrastructure management?,1
sa_034,creativity,algorithm_design,How often do you engage in algorithmic innovation and optimization?,3
sa_096,creativity,system_architecture,How often do you engage in architectural innovation and experimentation?,3
hs_259,hard_skills,performance_optimization,How comfortable are you with containerization technologies?,3
tw_245,teamwork,group_problem_solving,How effectively can you perform resolve team conflicts?,1
sa_100,creativity,system_architecture,How well do you perform when designing architectures for unknown future requirements?,1
sa_129,creativity,ux_design,How effectively can you perform create user experiences that set new standards?,2
sa_029,creativity,ux_design,How well do you perform UX design?,2
hs_223,hard_skills,microservices,How often do you engage in performance profiling?,1
sa_158,creativity,artistic_creativity,How comfortable are you with incorporating aesthetic elements in technical design?,1
hs_171,hard_skills,machine_learning,How confident are you in implementing CI/CD pipelines?,1
tw_019,teamwork,code_review_collaboration,How comfortable are you with remote team coordination?,3
ss_387,soft_skills,conflict_resolution,How comfortable are you with conflict resolution?,3
sa_105,creativity,system_architecture,How well do you perform when creating architectures for emerging use cases?,3
sa_138,creativity,ux_design,How comfortable are you with designing for emerging interaction paradigms?,2
sa_007,creativity,innovation_problem_solving,How well do you perform integrating feedback in creative tasks?,1
tw_151,teamwork,cultural_sensitivity,How confident are you in facilitating team meetings?,3
ss_345,soft_skills,communication_skills,How often do you engage in active listening?,2
sa_038,creativity,algorithm_design,How well do you perform when designing algorithms for real-time systems?,1
tw_098,teamwork,conflict_mediation,How often do you engage in team building activities?,1
hs_222,hard_skills,microservices,How well do you perform in web framework implementation?,1
tw_020,teamwork,code_review_collaboration,How effectively can you perform resolve team conflicts?,1
sa_110,creativity,system_architecture,How well do you perform when designing architectures for unknown future requirements?,2
ss_163,soft_skills,emotional_intelligence,How often do you engage in emotional intelligence?,3
sa_106,soft_skills,adaptability_learning,How well do you perform pivoting strategies when challenges arise?,1
ss_430,soft_skills,networking,How capable are you of networking?,2
ss_003,soft_skills,time_management,How would you rate your time management abilities?,1
sa_097,creativity,system_architecture,How comfortable are you with designing systems that don't follow traditional patterns?,1
sa_083,soft_skills,time_management,How well do you perform time management?,2
ss_216,soft_skills,problem_solving,How effectively can you perform problem solving?,2
tw_234,teamwork,collaborative_planning,How comfortable are you with giving peer feedback?,3
sa_006,creativity,innovation_problem_solving,How confident are you in challenging traditional approaches to find better solutions?,3
tw_230,teamwork,collaborative_planning,How effectively can you perform resolve team conflicts?,1
sa_073,creativity,creative_thinking,How confident are you in generating original ideas for technical challenges?,2
ss_554,soft_skills,empathy,How proficient are you at empathy?,3
sa_021,creativity,innovation_problem_solving,How confident are you in developing innovative solutions to complex problems?,3
sa_108,soft_skills,adaptability_learning,How comfortable are you with rapid learning in projects?,3
ss_649,soft_skills,strategic_planning,How comfortable are you with strategic planning?,3
tw_002,teamwork,communication_documentation,How well do you perform in cross-functional collaboration?,1
sa_025,creativity,system_architecture,How well do you perform incorporating security in architectures?,1
ss_167,soft_skills,emotional_intelligence,How would you rate your emotional intelligence abilities?,3
hs_151,hard_skills,cybersecurity,How confident are you in implementing microservices architecture?,3
hs_098,hard_skills,software_testing,How often do you engage in system monitoring and logging?,2
sa_016,creativity,innovation_problem_solving,How confident are you in challenging traditional approaches to find better solutions?,1
tw_134,teamwork,peer_feedback,How comfortable are you with team decision-making?,3
hs_182,hard_skills,artificial_intelligence,How well do you perform in cloud infrastructure management?,1
hs_239,hard_skills,containerization,How comfortable are you with blockchain technology?,3
ss_511,soft_skills,active_listening,How capable are you of active listening?,3
ss_538,soft_skills,empathy,How often do you engage in empathy?,2
sa_065,teamwork,leadership_mentoring,How well do you perform leadership mentoring?,2
sa_089,soft_skills,time_management,How often do you engage in planning project deadlines?,2
hs_164,hard_skills,cybersecurity,How comfortable are you with blockchain technology?,3
sa_019,creativity,system_architecture,How confident are you in system architecture design?,1
hs_232,hard_skills,containerization,How well do you perform in code testing and debugging?,2
ss_392,soft_skills,conflict_resolution,How often do you engage in conflict resolution?,3
sa_048,creativity,algorithm_design,How well do you perform when designing algorithms for real-time systems?,2
sa_026,creativity,innovation_problem_solving,How confident are you in challenging traditional approaches to find better solutions?,2
ss_319,soft_skills,self_motivation,How comfortable are you with self motivation?,3
ss_278,soft_skills,stress_management,How comfortable are you with stress management?,1
tw_131,teamwork,peer_feedback,How confident are you in managing team deadlines?,1
tw_182,teamwork,consensus_building,How well do you perform in cross-functional collaboration?,3
sa_013,creativity,algorithm_design,How comfortable are you with designing algorithms?,1
sa_147,creativity,ux_design,How often do you engage in creative user interaction design?,2
sa_059,teamwork,conflict_resolution,How effectively can you perform conflict resolution?,2
tw_139,teamwork,knowledge_sharing,How comfortable are you with remote team coordination?,1
ss_571,soft_skills,creativity_thinking,How strong are your creativity thinking capabilities?,2
tw_186,teamwork,consensus_building,How confident are you in leading project discussions?,3
hs_173,hard_skills,machine_learning,How often do you engage in system monitoring and logging?,1
ss_050,soft_skills,critical_thinking,How strong are your critical thinking capabilities?,1
ss_495,soft_skills,active_listening,How experienced are you with active listening?,3
tw_248,teamwork,group_problem_solving,How often do you engage in team building activities?,3
tw_103,teamwork,conflict_mediation,How often do you engage in group problem-solving?,1
sa_141,creativity,ux_design,How well do you perform when balancing usability with creative expression?,2
tw_063,teamwork,cross_functional_work,How often do you engage in peer mentoring?,3
ss_117,soft_skills,leadership,How often do you take initiative in group projects?,3
sa_128,creativity,ux_design,How comfortable are you with designing for emerging interaction paradigms?,1
ss_191,soft_skills,problem_solving,How skilled are you in problem solving?,1
hs_116,hard_skills,version_control,How confident are you in mobile app development?,2
hs_149,hard_skills,cloud_computing,How comfortable are you with blockchain technology?,2
sa_039,creativity,algorithm_design,How often do you engage in creating algorithms that inspire new approaches?,2
sa_078,creativity,creative_thinking,How confident are you in challenging assumptions and conventional wisdom?,1
tw_136,teamwork,knowledge_sharing,How confident are you in facilitating team meetings?,2
sa_061,teamwork,conflict_resolution,How well do you perform facilitating consensus?,1
sa_069,creativity,creative_thinking,How well do you perform when envisioning future technological possibilities?,1
sa_079,creativity,creative_thinking,How well do you perform when envisioning future technological possibilities?,2
sa_112,soft_skills,presentation_communication,How comfortable are you with presentation and communication?,1
sa_057,creativity,algorithm_design,How confident are you in developing creative data structures?,2
tw_029,teamwork,code_review_collaboration,How comfortable are you with team decision-making?,1
sa_054,creativity,algorithm_design,How often do you engage in algorithmic innovation and optimization?,2
ss_434,soft_skills,networking,How strong are your networking capabilities?,1
tw_188,teamwork,consensus_building,How often do you engage in team building activities?,2
hs_121,hard_skills,api_development,How confident are you in implementing microservices architecture?,3
hs_036,hard_skills,devops_deployment,How confident are you in implementing CI/CD pipelines?,1
sa_074,teamwork,agile_participation,How well do you perform agile participation?,2
tw_023,teamwork,code_review_collaboration,How often do you engage in team building activities?,3
sa_059,creativity,algorithm_design,How often do you engage in creating algorithms that inspire new approaches?,1
sa_012,creativity,algorithm_design,How often do you engage in designing algorithms?,3
sa_120,hard_skills,programming_languages,How often do you engage in programming languages?,3
sa_008,creativity,innovation_problem_solving,How often do you engage in lateral thinking for complex challenges?,2
sa_007,creativity,innovation_problem_solving,How well do you perform when adapting existing solutions to new contexts?,1
sa_082,soft_skills,time_management,How confident are you in time management?,1
sa_132,creativity,ux_design,How often do you engage in experimental design approaches?,2
hs_248,hard_skills,monitoring_logging,How often do you engage in system monitoring and logging?,3
sa_052,teamwork,code_review_collaboration,How well do you perform reviewing code for best practices?,1
hs_224,hard_skills,microservices,How comfortable are you with blockchain technology?,3
tw_162,teamwork,cultural_sensitivity,How well do you perform in collaborative planning?,1
sa_143,creativity,ux_design,How comfortable are you with designing for future user behaviors?,1
hs_042,hard_skills,devops_deployment,How well do you perform in web framework implementation?,2
tw_166,teamwork,meeting_facilitation,How confident are you in facilitating team meetings?,1
sa_142,creativity,ux_design,How often do you engage in experimental design approaches?,3
tw_041,teamwork,project_coordination,How confident are you in managing team deadlines?,2
hs_063,hard_skills,mobile_development,How often do you engage in API security implementation?,1
tw_240,teamwork,collaborative_planning,How effectively can you perform build team consensus?,1
ss_517,soft_skills,active_listening,How confident are you in active listening?,3
tw_236,teamwork,collaborative_planning,How confident are you in managing team deadlines?,3
ss_357,soft_skills,communication_skills,How proficient are you at communication skills?,3
sa_068,teamwork,leadership_mentoring,How effectively can you perform leadership mentoring?,2
sa_016,creativity,algorithm_design,How well do you perform explaining different algorithmic approaches?,1
sa_004,creativity,innovation_problem_solving,How comfortable are you with innovation problem solving?,1
tw_108,teamwork,team_leadership,How often do you engage in peer mentoring?,1
ss_198,soft_skills,problem_solving,How well do you perform problem solving?,3
hs_071,hard_skills,mobile_development,How confident are you in mobile app development?,1
tw_167,teamwork,meeting_facilitation,How well do you perform in cross-functional collaboration?,2
ss_164,soft_skills,emotional_intelligence,How proficient are you at emotional intelligence?,1
ss_381,soft_skills,conflict_resolution,How proficient are you at conflict resolution?,2
